exp_id,attempt_role,job_id,previous_job_id,pbs_path,train_run_dir,pbs_output_log,submitted_at,status_hint
S32_ddp_fullk_K1600_b1024_s20k_seed1,resume,7174932.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7174830.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S32_ddp_fullk_K1600_b1024_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S32/S32_ddp_fullk_K1600_b1024_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S32_ddp_fullk_K1600_b1024_s20k_seed1.pbs.out,2026-05-28T17:58:42Z,submitted
S32_ddp_fullk_K800_b1024_s20k_seed1,resume,7174933.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7174831.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S32_ddp_fullk_K800_b1024_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S32/S32_ddp_fullk_K800_b1024_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S32_ddp_fullk_K800_b1024_s20k_seed1.pbs.out,2026-05-28T17:58:42Z,submitted
S32_pipe_P32_equal_K400_b1024_s20k_seed1,resume,7174934.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7174832.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S32_pipe_P32_equal_K400_b1024_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S32/S32_pipe_P32_equal_K400_b1024_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S32_pipe_P32_equal_K400_b1024_s20k_seed1.pbs.out,2026-05-28T17:58:42Z,submitted
S16_ddp_fullk_K1600_b512_s20k_seed1,resume,7174961.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7174927.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S16_ddp_fullk_K1600_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_ddp_fullk_K1600_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_ddp_fullk_K1600_b512_s20k_seed1.pbs.out,2026-05-28T18:28:47Z,submitted
S32_ddp_fullk_K400_b1024_s20k_seed1,resume,7174962.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7174892.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S32_ddp_fullk_K400_b1024_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S32/S32_ddp_fullk_K400_b1024_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S32_ddp_fullk_K400_b1024_s20k_seed1.pbs.out,2026-05-28T18:28:47Z,submitted
S32_single_fullk_K400_b1024_s20k_seed1,resume,7174963.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7174865.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S32_single_fullk_K400_b1024_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S32/S32_single_fullk_K400_b1024_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S32_single_fullk_K400_b1024_s20k_seed1.pbs.out,2026-05-28T18:28:47Z,submitted
S16_ddp_fullk_K400_b512_s20k_seed1,resume,7174988.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7174928.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S16_ddp_fullk_K400_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_ddp_fullk_K400_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_ddp_fullk_K400_b512_s20k_seed1.pbs.out,2026-05-28T18:58:58Z,submitted
S16_ddp_fullk_K800_b512_s20k_seed1,resume,7174989.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7174929.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S16_ddp_fullk_K800_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_ddp_fullk_K800_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_ddp_fullk_K800_b512_s20k_seed1.pbs.out,2026-05-28T18:58:58Z,submitted
S16_pipe_P16_equal_K1600_b512_s20k_seed1,resume,7175018.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7174930.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S16_pipe_P16_equal_K1600_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_pipe_P16_equal_K1600_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_pipe_P16_equal_K1600_b512_s20k_seed1.pbs.out,2026-05-28T19:29:00Z,submitted
S16_pipe_P16_equal_K400_b512_s20k_seed1,resume,7175019.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7174931.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S16_pipe_P16_equal_K400_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_pipe_P16_equal_K400_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_pipe_P16_equal_K400_b512_s20k_seed1.pbs.out,2026-05-28T19:29:00Z,submitted
