group,exp_id,story,train_mode,seed,K,steps,step_size,weight_mode,run_dir,trajectory_dir,expected_points,replay_mode,replay_walltime,replay_queue,replay_job_id
M1,ddp_fullk_K100_seed2_300k,M1 reproducibility,ddp_fullk,2,100,300000,1.0,uniform,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/ddp_fullk_K100_seed2_300k_20260329_170437,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_analysis/seed2_fid_trajectory/ddp_seed2_local,60,existing,06:00:00,preemptable,
M1,ddp_fullk_K100_seed3_300k,M1 reproducibility,ddp_fullk,3,100,300000,1.0,uniform,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/ddp_fullk_K100_seed3_300k_20260331_024324,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_analysis/seed3_fid_trajectory/ddp_seed3_local,60,existing,06:00:00,preemptable,
M1,pipe_strict_P4_K100_beta001_lr1e4_seed2_300k,M1 reproducibility,pipe_strict,2,100,300000,1.0,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/pipe_strict_P4_K100_beta001_lr1e4_seed2_300k_20260329_170437,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_analysis/seed2_fid_trajectory/pipeline_seed2_local,60,existing,06:00:00,preemptable,
M1,pipe_strict_P4_K100_beta001_lr1e4_seed3_300k,M1 reproducibility,pipe_strict,3,100,300000,1.0,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/pipe_strict_P4_K100_beta001_lr1e4_seed3_300k_20260331_024324,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_analysis/seed3_fid_trajectory/pipeline_seed3_local,60,existing,06:00:00,preemptable,
M2,ddp_fullk_K400_seed1_300k,M2 high_K control,ddp_fullk,1,400,300000,1.0,uniform,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M2/ddp_fullk_K400_seed1_300k_20260329_170437,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/ddp_fullk_K400_seed1_300k,60,qsub,06:00:00,preemptable,
M2,pipe_strict_P4_K400_beta001_lr1e4_seed1_300k,M2 high_K control,pipe_strict,1,400,300000,1.0,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M2/pipe_strict_P4_K400_beta001_lr1e4_seed1_300k_20260329_170437,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/pipe_strict_P4_K400_beta001_lr1e4_seed1_300k,60,qsub,06:00:00,preemptable,
P2A0,ddp_fullk_K100_seed1_300k,Phase2 300k anchors,ddp_fullk,1,100,300000,1.0,uniform,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_dual/modea_fullk_align128/ddp_fullk_s300k_seed1_syncinit_20260324_165322,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_analysis/seed1_fid_trajectory/ddp_seed1_local,60,existing,06:00:00,preemptable,
P2A0,pipe_strict_P4_K100_beta001_lr1e4_seed1_300k,Phase2 300k anchors,pipe_strict,1,100,300000,1.0,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_strict/pipeline_strict_s300k_b001_lr1e-4_seed1_syncinit_20260324_165322,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_analysis/seed1_fid_trajectory/pipeline_seed1_local,60,existing,06:00:00,preemptable,
P2A0,single_fullk_K100_seed1_300k,Phase2 300k anchors,single_fullk,1,100,300000,1.0,uniform,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_baseline/orig_single_semantics_fid_s300000_K100_20260324_001055,,0,final_only,,,
S1,single_pipe_emul_P4_K100_beta001_seed1_300k,S1 single_gpu mechanism,single_pipe_emul,1,100,300000,1.0,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/S1/single_pipe_emul_P4_K100_beta001_seed1_300k_20260329_170437,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/single_pipe_emul_P4_K100_beta001_seed1_300k,60,qsub,06:00:00,preemptable,
S1,single_pipe_emul_P4_K100_deep_seed1_300k,S1 single_gpu mechanism,single_pipe_emul,1,100,300000,1.0,deep_only,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/S1/single_pipe_emul_P4_K100_deep_seed1_300k_20260329_170437,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/single_pipe_emul_P4_K100_deep_seed1_300k,60,qsub,06:00:00,preemptable,
S2,pipe_strict_P2_K100_beta001_lr1e4_seed1_300k,S2 stage_count factor,pipe_strict,1,100,300000,1.0,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/S2/pipe_strict_P2_K100_beta001_lr1e4_seed1_300k_20260329_170437,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/pipe_strict_P2_K100_beta001_lr1e4_seed1_300k,60,qsub,06:00:00,preemptable,
S2,pipe_strict_P8_K100_beta001_lr1e4_seed1_300k,S2 stage_count factor,pipe_strict,1,100,300000,1.0,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/S2/pipe_strict_P8_K100_beta001_lr1e4_seed1_300k_20260329_170437,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/pipe_strict_P8_K100_beta001_lr1e4_seed1_300k,60,qsub,06:00:00,preemptable,
