logical_exp_id,resume_job_id,resume_from_ckpt,submitted_at,pbs_path,run_dir,notes
L2_ddp_fullk_K400_s500k_seed3,7159784.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L2/L2_ddp_fullk_K400_s500k_seed3/checkpoints/ckpt_step104999.pt,2026-05-16T13:58:22.511070+00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L2_ddp_fullk_K400_s500k_seed3.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L2/L2_ddp_fullk_K400_s500k_seed3,immediate auto resume from latest known checkpoint
L1_ddp_fullk_K400_s300k_seed1,7159785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_ddp_fullk_K400_s300k_seed1/checkpoints/ckpt_step159999.pt,2026-05-16T14:13:23.410058+00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_ddp_fullk_K400_s300k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_ddp_fullk_K400_s300k_seed1,immediate auto resume from latest known checkpoint
L1_ddp_fullk_K400_s300k_seed2,7159786.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_ddp_fullk_K400_s300k_seed2/checkpoints/ckpt_step209999.pt,2026-05-16T14:13:23.947643+00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_ddp_fullk_K400_s300k_seed2.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_ddp_fullk_K400_s300k_seed2,immediate auto resume from latest known checkpoint
L2_ddp_fullk_K400_s500k_seed3,7159787.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L2/L2_ddp_fullk_K400_s500k_seed3/checkpoints/ckpt_step104999.pt,2026-05-16T14:13:24.459666+00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L2_ddp_fullk_K400_s500k_seed3.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L2/L2_ddp_fullk_K400_s500k_seed3,immediate auto resume from latest known checkpoint
L1_ddp_fullk_K400_s300k_seed1,7159790.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_ddp_fullk_K400_s300k_seed1/checkpoints/ckpt_step159999.pt,2026-05-16T14:28:25.428054+00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_ddp_fullk_K400_s300k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_ddp_fullk_K400_s300k_seed1,immediate auto resume from latest known checkpoint
L1_ddp_fullk_K400_s300k_seed2,7159791.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_ddp_fullk_K400_s300k_seed2/checkpoints/ckpt_step209999.pt,2026-05-16T14:28:26.063116+00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_ddp_fullk_K400_s300k_seed2.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_ddp_fullk_K400_s300k_seed2,immediate auto resume from latest known checkpoint
L2_ddp_fullk_K400_s500k_seed3,7159792.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L2/L2_ddp_fullk_K400_s500k_seed3/checkpoints/ckpt_step104999.pt,2026-05-16T14:28:26.445552+00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L2_ddp_fullk_K400_s500k_seed3.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L2/L2_ddp_fullk_K400_s500k_seed3,immediate auto resume from latest known checkpoint
L1_ddp_fullk_K400_s300k_seed1,7159793.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_ddp_fullk_K400_s300k_seed1/checkpoints/ckpt_step159999.pt,2026-05-16T14:43:27.336495+00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_ddp_fullk_K400_s300k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_ddp_fullk_K400_s300k_seed1,immediate auto resume from latest known checkpoint
L1_ddp_fullk_K400_s300k_seed2,7159794.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_ddp_fullk_K400_s300k_seed2/checkpoints/ckpt_step209999.pt,2026-05-16T14:43:27.778634+00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_ddp_fullk_K400_s300k_seed2.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_ddp_fullk_K400_s300k_seed2,immediate auto resume from latest known checkpoint
L2_ddp_fullk_K400_s500k_seed3,7159795.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L2/L2_ddp_fullk_K400_s500k_seed3/checkpoints/ckpt_step104999.pt,2026-05-16T14:43:28.359002+00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L2_ddp_fullk_K400_s500k_seed3.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L2/L2_ddp_fullk_K400_s500k_seed3,immediate auto resume from latest known checkpoint
