group,exp_id,story,train_mode,seed,steps,expected_points,available_points,status,final_step,final_fid,fid_feature,unique_ratio,best_step,best_fid,final_minus_best,trajectory_dir,run_dir
A3,A3_pipe_last2b001_p4_k400_s20k,Q3 sampling_fidelity factor,pipe_strict,1,20000,4,4,done,20000,421.7258763444897,7.141640653490805,,20000,421.7258763444897,0.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A3_pipe_last2b001_p4_k400_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k400_s20k_20260329_160221
A3,A3_pipe_last2b001_p4_k60_s20k,Q3 sampling_fidelity factor,pipe_strict,1,20000,4,4,done,20000,124.30066886887835,12.207550757593125,,10000,117.63260392944932,6.66806493942903,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A3_pipe_last2b001_p4_k60_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k60_s20k_20260329_145447
A4,A4_ddp_fullk_eps001_k100_s20k,Q4 step_size factor,ddp_fullk,1,20000,4,4,done,20000,118.91948778976086,0.947731027683453,,20000,118.91948778976086,0.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A4_ddp_fullk_eps001_k100_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps001_k100_s20k_20260329_161307
A4,A4_ddp_fullk_eps002_k100_s20k,Q4 step_size factor,ddp_fullk,1,20000,4,4,done,20000,111.64360546002587,0.5848654488001372,,20000,111.64360546002587,0.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A4_ddp_fullk_eps002_k100_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps002_k100_s20k_20260329_161307
A4,A4_ddp_fullk_eps005_k100_s20k,Q4 step_size factor,ddp_fullk,1,20000,4,4,done,20000,113.48933193366463,0.48804651292779155,,20000,113.48933193366463,0.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A4_ddp_fullk_eps005_k100_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps005_k100_s20k_20260330_031604
A4,A4_ddp_fullk_eps010_k100_s20k,Q4 step_size factor,ddp_fullk,1,20000,4,4,done,20000,114.96584003376199,0.4964943322931745,,15000,109.60640087570016,5.359439158061832,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A4_ddp_fullk_eps010_k100_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps010_k100_s20k_20260329_162236
A4,A4_ddp_fullk_eps020_k100_s20k,Q4 step_size factor,ddp_fullk,1,20000,4,4,done,20000,117.4047347358246,0.4185422072101588,,15000,114.48750613823285,2.917228597591759,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A4_ddp_fullk_eps020_k100_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps020_k100_s20k_20260329_164242
A4,A4_pipe_last2b001_p4_eps001_k100_s20k,Q4 step_size factor,pipe_strict,1,20000,4,4,done,20000,125.17390361099268,1.6001884508908475,,20000,125.17390361099268,0.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A4_pipe_last2b001_p4_eps001_k100_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_pipe_last2b001_p4_eps001_k100_s20k_20260329_161307
A4,A4_pipe_last2b001_p4_eps002_k100_s20k,Q4 step_size factor,pipe_strict,1,20000,4,4,done,20000,115.6404499499518,5.017995298070577,,20000,115.6404499499518,0.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A4_pipe_last2b001_p4_eps002_k100_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_pipe_last2b001_p4_eps002_k100_s20k_20260329_161307
A4,A4_pipe_last2b001_p4_eps005_k100_s20k,Q4 step_size factor,pipe_strict,1,20000,4,4,done,20000,115.56463025164607,3.4181422351919863,,20000,115.56463025164607,0.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A4_pipe_last2b001_p4_eps005_k100_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_pipe_last2b001_p4_eps005_k100_s20k_20260329_162236
A4,A4_pipe_last2b001_p4_eps010_k100_s20k,Q4 step_size factor,pipe_strict,1,20000,4,4,done,20000,112.5633255734154,1.705671982264839,,20000,112.5633255734154,0.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A4_pipe_last2b001_p4_eps010_k100_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_pipe_last2b001_p4_eps010_k100_s20k_20260329_164242
A4,A4_pipe_last2b001_p4_eps020_k100_s20k,Q4 step_size factor,pipe_strict,1,20000,4,4,done,20000,149.03757339881847,2.813063163578814,,15000,121.87528460247665,27.162288796341812,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A4_pipe_last2b001_p4_eps020_k100_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_pipe_last2b001_p4_eps020_k100_s20k_20260329_164242
P2A0,ddp_fullk_K100_seed1_300k,Phase2 300k anchors,ddp_fullk,1,300000,60,60,done,300000,66.94092171301946,0.43625693217033046,,280000,54.80543438170548,12.135487331313982,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_analysis/seed1_fid_trajectory/ddp_seed1_local,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_dual/modea_fullk_align128/ddp_fullk_s300k_seed1_syncinit_20260324_165322
M1,ddp_fullk_K100_seed2_300k,M1 reproducibility,ddp_fullk,2,300000,60,60,done,300000,57.79872833080094,0.27670446388534486,,240000,51.99059975948808,5.808128571312864,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_analysis/seed2_fid_trajectory/ddp_seed2_local,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/ddp_fullk_K100_seed2_300k_20260329_170437
M1,ddp_fullk_K100_seed3_300k,M1 reproducibility,ddp_fullk,3,300000,60,60,done,300000,63.81115361325402,1.2354493705970526,,240000,56.36577058075045,7.445383032503571,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_analysis/seed3_fid_trajectory/ddp_seed3_local,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/ddp_fullk_K100_seed3_300k_20260331_024324
M2,ddp_fullk_K400_seed1_300k,M2 high_K control,ddp_fullk,1,300000,60,60,done,300000,436.2440611098582,6.912243686432224,,105000,407.3174108608836,28.926650248974568,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/ddp_fullk_K400_seed1_300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M2/ddp_fullk_K400_seed1_300k_20260329_170437
S2,pipe_strict_P2_K100_beta001_lr1e4_seed1_300k,S2 stage_count factor,pipe_strict,1,300000,60,60,done,300000,83.63261305238615,0.6573669677312672,,200000,58.558074439221,25.074538613165146,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/pipe_strict_P2_K100_beta001_lr1e4_seed1_300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/S2/pipe_strict_P2_K100_beta001_lr1e4_seed1_300k_20260329_170437
P2A0,pipe_strict_P4_K100_beta001_lr1e4_seed1_300k,Phase2 300k anchors,pipe_strict,1,300000,60,60,done,300000,56.03988018206087,0.450248156663406,,300000,56.03988018206087,0.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_analysis/seed1_fid_trajectory/pipeline_seed1_local,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_strict/pipeline_strict_s300k_b001_lr1e-4_seed1_syncinit_20260324_165322
M1,pipe_strict_P4_K100_beta001_lr1e4_seed2_300k,M1 reproducibility,pipe_strict,2,300000,60,60,done,300000,65.83905546619434,0.6797417243377559,,295000,61.508138234867715,4.330917231326623,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_analysis/seed2_fid_trajectory/pipeline_seed2_local,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/pipe_strict_P4_K100_beta001_lr1e4_seed2_300k_20260329_170437
M1,pipe_strict_P4_K100_beta001_lr1e4_seed3_300k,M1 reproducibility,pipe_strict,3,300000,60,60,done,300000,70.9538137222234,0.8833438281969919,,230000,54.75951342786641,16.194300294356992,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_analysis/seed3_fid_trajectory/pipeline_seed3_local,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/pipe_strict_P4_K100_beta001_lr1e4_seed3_300k_20260331_024324
M2,pipe_strict_P4_K400_beta001_lr1e4_seed1_300k,M2 high_K control,pipe_strict,1,300000,60,60,done,300000,391.75773561447136,6.578110712417885,,110000,360.11306597673183,31.644669637739526,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/pipe_strict_P4_K400_beta001_lr1e4_seed1_300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M2/pipe_strict_P4_K400_beta001_lr1e4_seed1_300k_20260329_170437
S2,pipe_strict_P8_K100_beta001_lr1e4_seed1_300k,S2 stage_count factor,pipe_strict,1,300000,60,60,done,300000,76.59951654305985,2.013062106647496,,275000,65.34823163458196,11.251284908477885,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/pipe_strict_P8_K100_beta001_lr1e4_seed1_300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/S2/pipe_strict_P8_K100_beta001_lr1e4_seed1_300k_20260329_170437
P2A0,single_fullk_K100_seed1_300k,Phase2 300k anchors,single_fullk,1,300000,0,0,final_only,300000,61.65055605301666,0.5418381401279113,,,,,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_baseline/orig_single_semantics_fid_s300000_K100_20260324_001055
S1,single_pipe_emul_P4_K100_beta001_seed1_300k,S1 single_gpu mechanism,single_pipe_emul,1,300000,60,60,done,300000,89.30340629003501,2.322345857012916,,150000,59.535658075338745,29.76774821469627,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/single_pipe_emul_P4_K100_beta001_seed1_300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/S1/single_pipe_emul_P4_K100_beta001_seed1_300k_20260329_170437
S1,single_pipe_emul_P4_K100_deep_seed1_300k,S1 single_gpu mechanism,single_pipe_emul,1,300000,60,60,done,300000,60.63923037210719,0.7993052216892451,,300000,60.63923037210719,0.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/single_pipe_emul_P4_K100_deep_seed1_300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/S1/single_pipe_emul_P4_K100_deep_seed1_300k_20260329_170437
