ledger,phase_group,family_id,logical_run_id,benchmark,regime,stage_count,weighting,K,horizon_steps,seed,paper_role,points_count,fid_points_count,final_step,final_fid_inception,best_step,best_fid_inception,train_walltime_seconds,train_walltime_hours,train_walltime_days,gpu_count,train_gpu_hours,walltime_source,canonical_run_dir
current_cifar_paper,O2,pipe_P8_equal,current_cifar_paper:cifar10:pipe_P8_equal:seed1:h300000,cifar10,strict_pipeline,8,equal,100,300000,1,appendix,60,60,300000,368.546531615,30000,102.536463322,11524,3.201111,0.133380,8,25.608889,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P8_uniform_K100_seed1_300k_resume_20260424_033325
current_cifar_paper,O1,single_P16_deepest,current_cifar_paper:cifar10:single_P16_deepest:seed1:h300000,cifar10,single_emulation,16,deepest,100,300000,1,appendix,60,0,300000,,,,37951,10.541944,0.439248,1,10.541944,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P16_deep_K100_seed1_300k_20260415_152655
current_cifar_paper,O1,single_P16_equal,current_cifar_paper:cifar10:single_P16_equal:seed1:h300000,cifar10,single_emulation,16,equal,100,300000,1,appendix,60,0,300000,,,,37875,10.520833,0.438368,1,10.520833,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P16_uniform_K100_seed1_300k_20260415_152655
current_cifar_paper,O1,single_P1_terminal,current_cifar_paper:cifar10:single_P1_terminal:seed1:h300000,cifar10,single_strict,1,terminal,100,300000,1,control,60,60,300000,68.217078108,280000,52.7581042384,29901,8.305833,0.346076,1,8.305833,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_fullk_K100_seed1_300k_20260406_214845
current_cifar_paper,O4,single_P1_terminal,current_cifar_paper:cifar10:single_P1_terminal:seed1:h500000,cifar10,single_strict,1,terminal,100,500000,1,headline,100,100,500000,59.6445066735,345000,55.3074295254,49997,13.888056,0.578669,1,13.888056,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_single_fullk_K100_seed1_500k_20260412_143208
current_cifar_paper,O3,single_P1_terminal,current_cifar_paper:cifar10:single_P1_terminal:seed2:h300000,cifar10,single_strict,1,terminal,100,300000,2,headline,60,60,300000,60.4509705506,300000,60.4509705506,30022,8.339444,0.347477,1,8.339444,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_single_fullk_K100_seed2_300k_20260409_132633
current_cifar_paper,O4,single_P1_terminal,current_cifar_paper:cifar10:single_P1_terminal:seed2:h500000,cifar10,single_strict,1,terminal,100,500000,2,headline,100,100,500000,77.5342772029,370000,55.2475855737,50010,13.891667,0.578819,1,13.891667,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_single_fullk_K100_seed2_500k_retry_20260421_223303
current_cifar_paper,O3,single_P1_terminal,current_cifar_paper:cifar10:single_P1_terminal:seed3:h300000,cifar10,single_strict,1,terminal,100,300000,3,headline,60,60,300000,63.2851317157,95000,56.3908300404,19565,5.434722,0.226447,1,5.434722,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_single_fullk_K100_seed3_300k_resume_20260421_223303
current_cifar_paper,O4,single_P1_terminal,current_cifar_paper:cifar10:single_P1_terminal:seed3:h500000,cifar10,single_strict,1,terminal,100,500000,3,headline,100,100,500000,65.9099295156,430000,56.3453797634,49785,13.829167,0.576215,1,13.829167,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_single_fullk_K100_seed3_500k_20260415_152655
current_cifar_paper,O1,single_P2_deepest,current_cifar_paper:cifar10:single_P2_deepest:seed1:h300000,cifar10,single_emulation,2,deepest,100,300000,1,control,60,60,300000,62.1447661944,145000,60.0056781594,30451,8.458611,0.352442,1,8.458611,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P2_deep_K100_seed1_300k_20260406_214845
