phase_group,paper_role,regime,family_id,stage_count,weighting,K,horizon_steps,seed,gpu_count,train_walltime_hours,train_gpu_hours,final_step,final_fid_inception,best_step,best_fid_inception,logical_run_id
O4,headline,single_emulation,single_P2_equal,2,equal,100,500000,2,1,14.120556,14.120556,500000,72.8190815534,370000,55.1322855791,current_cifar_paper:cifar10:single_P2_equal:seed2:h500000
O4,headline,single_emulation,single_P2_equal,2,equal,100,500000,3,1,14.086944,14.086944,500000,62.3239665465,450000,54.3048402216,current_cifar_paper:cifar10:single_P2_equal:seed3:h500000
O4,headline,single_strict,single_P1_terminal,1,terminal,100,500000,1,1,13.888056,13.888056,500000,59.6445066735,345000,55.3074295254,current_cifar_paper:cifar10:single_P1_terminal:seed1:h500000
O4,headline,single_strict,single_P1_terminal,1,terminal,100,500000,2,1,13.891667,13.891667,500000,77.5342772029,370000,55.2475855737,current_cifar_paper:cifar10:single_P1_terminal:seed2:h500000
O4,headline,single_strict,single_P1_terminal,1,terminal,100,500000,3,1,13.829167,13.829167,500000,65.9099295156,430000,56.3453797634,current_cifar_paper:cifar10:single_P1_terminal:seed3:h500000
O4,control,strict_pipeline,pipe_P4_deepest,4,deepest,100,500000,1,4,5.950833,23.803333,500000,73.9348021678,445000,54.9199460843,current_cifar_paper:cifar10:pipe_P4_deepest:seed1:h500000
O4,control,strict_pipeline,pipe_P4_deepest,4,deepest,100,500000,2,4,5.970833,23.883333,500000,76.6741836931,240000,55.575334787,current_cifar_paper:cifar10:pipe_P4_deepest:seed2:h500000
O4,control,strict_pipeline,pipe_P4_deepest,4,deepest,100,500000,3,4,5.985833,23.943333,500000,72.7934360493,465000,54.4487994037,current_cifar_paper:cifar10:pipe_P4_deepest:seed3:h500000
O4,headline,strict_pipeline,pipe_P4_equal,4,equal,100,500000,1,4,5.976111,23.904444,500000,70.9795354227,195000,48.2270928078,current_cifar_paper:cifar10:pipe_P4_equal:seed1:h500000
O4,headline,strict_pipeline,pipe_P4_equal,4,equal,100,500000,2,4,5.970278,23.881111,500000,57.01796726,240000,46.9888878623,current_cifar_paper:cifar10:pipe_P4_equal:seed2:h500000
O4,headline,strict_pipeline,pipe_P4_equal,4,equal,100,500000,3,4,5.994722,23.978889,500000,54.909787273,450000,49.9175679813,current_cifar_paper:cifar10:pipe_P4_equal:seed3:h500000
